,0,1,2
654,5.0,31,"[41, 46]"
655,3.0,40,"[25, 28]"
656,5.5,23,"[25, 36]"
657,3.5,17,"[19, 28]"
658,3.75,19,"[22, 25]"
659,3.25,31,"[11, 19]"
660,5.25,25,"[28, 33]"
661,4.5,31,[25]
662,3.25,13,"[16, 19, 41]"
663,4.0,17,"[25, 28]"
664,4.75,10,[27]
665,5.25,22,"[24, 32]"
666,4.5,10,[23]
667,5.25,7,"[34, 37]"
668,2.5,22,"[27, 43]"
669,5.0,10,"[28, 43]"
670,1.5,12,"[24, 27]"
671,2.75,16,"[33, 36]"
672,2.75,14,"[12, 47]"
673,1.75,14,"[12, 15]"
674,2.0,39,"[29, 44]"
675,6.25,3,[33]
676,4.75,18,[15]
677,3.25,14,[38]
678,1.5,36,"[33, 36]"
679,3.25,17,"[33, 45]"
680,2.5,9,"[11, 14]"
681,1.25,19,"[31, 34]"
682,3.25,8,"[31, 34]"
683,2.0,13,"[19, 24]"
684,1.5,51,"[33, 36]"
685,1.5,39,"[35, 38]"
686,3.25,11,[16]
687,3.0,17,"[36, 46]"
688,3.5,19,"[35, 38]"
689,1.25,40,"[33, 36]"
690,4.75,14,[23]
691,3.0,25,"[12, 39]"
692,1.5,19,"[36, 38]"
693,3.25,15,"[11, 17]"
694,4.5,15,"[14, 17]"
695,7.0,17,[37]
696,3.5,19,"[22, 25]"
697,3.75,14,"[16, 19]"
698,3.5,23,"[22, 25, 28]"
699,5.5,12,"[33, 36]"
700,4.75,3,"[15, 18]"
701,5.0,21,"[16, 19]"
702,6.0,8,[37]
703,3.5,16,"[11, 14]"
704,2.5,12,[27]
705,3.0,30,"[19, 21]"
706,5.5,9,[16]
707,5.5,21,"[13, 15]"
708,1.25,33,"[21, 45]"
709,4.0,23,"[12, 21]"
710,3.25,21,"[15, 18]"
711,2.5,22,"[42, 46]"
712,1.75,21,"[23, 24]"
713,3.75,13,"[17, 28]"
714,5.0,20,[12]
715,3.5,16,[33]
716,1.25,37,[35]
717,2.25,22,"[33, 36, 39]"
718,6.5,10,"[24, 38]"
719,2.0,30,"[11, 14, 17]"
720,3.5,26,"[19, 34]"
721,4.5,24,[22]
722,4.75,31,"[11, 18]"
723,5.25,19,"[23, 26]"
724,5.0,15,"[31, 34, 37]"
725,4.0,4,[17]
726,2.25,30,"[16, 19]"
727,4.75,17,"[33, 36]"
728,4.5,21,"[15, 18]"
729,2.5,21,"[43, 45]"
730,5.0,18,"[18, 43]"
731,3.25,16,"[33, 36]"
732,3.75,29,"[12, 15]"
733,2.75,38,"[21, 24]"
734,3.0,27,"[33, 36]"
735,2.5,35,"[18, 28]"
736,4.25,20,[26]
737,4.25,7,"[26, 45]"
738,5.25,15,"[11, 14, 17]"
739,3.0,20,"[16, 19]"
740,2.0,46,"[29, 47]"
741,1.25,16,"[28, 42]"
742,4.0,24,"[16, 19]"
743,3.5,23,"[24, 42]"
744,4.0,22,"[36, 39, 43]"
745,5.0,26,"[28, 32]"
746,4.25,20,"[12, 15]"
747,5.0,19,"[12, 15, 18]"
748,5.0,16,"[22, 25]"
749,5.0,21,[17]
750,2.5,16,"[16, 19]"
751,3.25,18,"[35, 39]"
752,4.75,10,"[26, 29]"
753,1.5,9,"[15, 18]"
754,4.0,9,"[12, 26]"
